timestamp,open,high,low,close,volume
2019-09-05 11:17:00,139.8800,139.8950,139.8250,139.8400,27857
2019-09-05 11:16:00,139.9000,139.9161,139.8400,139.8700,46113
2019-09-05 11:15:00,139.8500,139.8950,139.8300,139.8900,38226
2019-09-05 11:14:00,139.7750,139.8450,139.7350,139.8450,40479
2019-09-05 11:13:00,139.7900,139.8100,139.7650,139.7800,30060
2019-09-05 11:12:00,139.8100,139.8400,139.7200,139.7950,39052
2019-09-05 11:11:00,139.8000,139.8800,139.8000,139.8300,40708
2019-09-05 11:10:00,139.8300,139.8550,139.7601,139.7900,58584
2019-09-05 11:09:00,139.8300,139.8900,139.8200,139.8400,35113
2019-09-05 11:08:00,139.8850,139.8850,139.8330,139.8330,30476
2019-09-05 11:07:00,139.8634,139.9300,139.8500,139.8800,42055
2019-09-05 11:06:00,139.8200,139.8700,139.7800,139.8700,54582
2019-09-05 11:05:00,139.7650,139.8600,139.7600,139.8300,40154
2019-09-05 11:04:00,139.7800,139.8350,139.7200,139.7600,49907
2019-09-05 11:03:00,139.9750,139.9800,139.7850,139.7850,0
2019-09-05 11:02:00,139.8950,139.9900,139.8400,139.9800,66446
2019-09-05 11:01:00,139.8900,140.0500,139.8600,139.8900,167782
2019-09-05 11:00:00,139.9100,139.9200,139.8000,139.8800,54276
2019-09-05 10:59:00,139.8500,139.9400,139.8500,139.9200,34782
2019-09-05 10:58:00,139.9300,139.9371,139.8300,139.8700,50103
2019-09-05 10:57:00,139.8800,139.9400,139.8600,139.9150,40019
2019-09-05 10:56:00,139.8800,139.9100,139.8121,139.8750,36809
2019-09-05 10:55:00,139.8200,139.8800,139.8200,139.8700,38553
2019-09-05 10:54:00,139.8500,139.8698,139.7800,139.8400,32532
2019-09-05 10:53:00,139.8068,139.8800,139.7800,139.8580,27191
2019-09-05 10:52:00,139.8700,139.8800,139.7800,139.7967,63289
2019-09-05 10:51:00,139.7900,139.8700,139.7500,139.8700,41041
2019-09-05 10:50:00,139.7900,139.8049,139.7600,139.7952,32188
2019-09-05 10:49:00,139.8850,139.9000,139.7600,139.8091,67514
2019-09-05 10:48:00,139.9000,139.9000,139.8200,139.8770,40361
2019-09-05 10:47:00,139.9100,139.9400,139.8700,139.9084,34125
2019-09-05 10:46:00,139.9866,140.0541,139.8900,139.9200,46508
2019-09-05 10:45:00,140.0300,140.0400,139.9300,139.9800,41098
2019-09-05 10:44:00,140.0800,140.0950,139.9801,140.0300,43961
2019-09-05 10:43:00,140.0100,140.0874,139.9500,140.0800,79411
2019-09-05 10:42:00,140.1600,140.1600,140.0100,140.0100,87123
2019-09-05 10:41:00,140.2433,140.3000,140.1900,140.1900,47727
2019-09-05 10:40:00,140.3700,140.3700,140.1400,140.2500,114378
2019-09-05 10:39:00,140.3300,140.3837,140.3100,140.3780,94289
2019-09-05 10:38:00,140.1550,140.3600,140.1550,140.3400,174125
2019-09-05 10:37:00,140.1600,140.1800,140.0800,140.1400,85621
2019-09-05 10:36:00,140.0900,140.1800,140.0750,140.1600,146654
2019-09-05 10:35:00,140.0750,140.1100,140.0400,140.1000,85738
2019-09-05 10:34:00,140.0700,140.1050,140.0524,140.0756,86594
2019-09-05 10:33:00,139.9950,140.0800,139.9950,140.0500,116213
2019-09-05 10:32:00,139.9500,140.0000,139.9300,139.9900,65603
2019-09-05 10:31:00,139.9370,139.9500,139.9028,139.9400,58299
2019-09-05 10:30:00,139.8900,139.9500,139.8650,139.9400,88326
2019-09-05 10:29:00,139.9701,139.9765,139.8800,139.8900,46576
2019-09-05 10:28:00,139.8700,139.9700,139.8200,139.9700,65646
2019-09-05 10:27:00,139.9222,139.9600,139.8600,139.8700,208503
2019-09-05 10:26:00,139.9100,140.0100,139.8950,139.9200,148057
2019-09-05 10:25:00,139.9700,139.9900,139.8700,139.9050,523194
2019-09-05 10:24:00,139.9750,140.0300,139.9300,139.9700,84091
2019-09-05 10:23:00,139.9550,140.0000,139.9400,139.9770,69308
2019-09-05 10:22:00,139.9300,139.9600,139.9100,139.9600,65556
2019-09-05 10:21:00,139.9950,140.0400,139.9150,139.9300,170438
2019-09-05 10:20:00,139.8500,140.0300,139.8300,140.0000,591708
2019-09-05 10:19:00,139.8400,140.0300,139.8350,139.8450,266357
2019-09-05 10:18:00,139.7701,139.8400,139.7701,139.8400,58965
2019-09-05 10:17:00,139.7100,139.8400,139.6801,139.7740,120409
2019-09-05 10:16:00,139.6200,139.7500,139.6200,139.7000,62784
2019-09-05 10:15:00,139.7100,139.7400,139.6100,139.6200,51357
2019-09-05 10:14:00,139.6768,139.7100,139.6300,139.7000,102555
2019-09-05 10:13:00,139.5900,139.7000,139.5200,139.6732,97524
2019-09-05 10:12:00,139.5858,139.6300,139.5400,139.5900,40900
2019-09-05 10:11:00,139.7300,139.7400,139.5750,139.5900,43896
2019-09-05 10:10:00,139.6450,139.7300,139.6200,139.7200,47770
2019-09-05 10:09:00,139.5700,139.6900,139.5700,139.6500,89309
2019-09-05 10:08:00,139.5600,139.6600,139.5500,139.5700,69161
2019-09-05 10:07:00,139.4883,139.6000,139.4883,139.5600,45092
2019-09-05 10:06:00,139.6600,139.6700,139.4400,139.4900,145098
2019-09-05 10:05:00,139.7200,139.7300,139.5750,139.6550,96370
2019-09-05 10:04:00,139.7400,139.8300,139.7100,139.7140,76221
2019-09-05 10:03:00,139.7600,139.8700,139.7200,139.7398,117847
2019-09-05 10:02:00,139.6600,139.7900,139.6000,139.7579,103047
2019-09-05 10:01:00,139.4800,139.7150,139.4800,139.6410,188105
2019-09-05 10:00:00,139.6400,139.6800,139.4200,139.4700,92720
2019-09-05 09:59:00,139.4900,139.6400,139.4601,139.6335,96527
2019-09-05 09:58:00,139.5500,139.6100,139.4900,139.4908,157873
2019-09-05 09:57:00,139.3500,139.5800,139.3400,139.5599,229429
2019-09-05 09:56:00,139.3700,139.3933,139.3300,139.3500,51786
2019-09-05 09:55:00,139.3300,139.3900,139.3265,139.3600,65633
2019-09-05 09:54:00,139.2500,139.3800,139.2400,139.3300,111093
2019-09-05 09:53:00,139.1600,139.2600,139.1300,139.2600,88933
2019-09-05 09:52:00,139.1100,139.1800,139.0950,139.1600,78513
2019-09-05 09:51:00,139.1101,139.1800,139.0860,139.1000,50977
2019-09-05 09:50:00,139.0550,139.1200,139.0000,139.1200,45978
2019-09-05 09:49:00,138.9950,139.0900,138.9800,139.0575,60414
2019-09-05 09:48:00,139.1261,139.1261,138.9100,138.9800,136262
2019-09-05 09:47:00,139.1800,139.2000,139.0900,139.1035,75659
2019-09-05 09:46:00,138.9900,139.2300,138.9895,139.1600,283622
2019-09-05 09:45:00,138.8700,139.0400,138.8700,138.9900,82682
2019-09-05 09:44:00,139.1900,139.2050,138.8700,138.8800,189907
2019-09-05 09:43:00,139.0900,139.2200,139.0800,139.1950,133069
2019-09-05 09:42:00,139.0350,139.1400,139.0350,139.0999,163499
2019-09-05 09:41:00,139.0150,139.0401,138.9400,139.0319,104702
2019-09-05 09:40:00,139.0200,139.0200,138.9100,139.0100,80096
2019-09-05 09:39:00,138.9800,139.0600,138.9300,139.0261,93939
2019-09-05 09:38:00,139.0200,139.0700,138.9700,139.0000,70267
